TRAINING MODELS: problem = sslp_15_45

       MAPE:  tr: 0.111, val: 0.111
    New Best Model
  [40] MSE:   tr: 5541.414, val: 5020.254
       MAE:   tr: 40.911, val: 39.684
       MAPE:  tr: 0.093, val: 0.093
    New Best Model
  [50] MSE:   tr: 7102.545, val: 6023.584
       MAE:   tr: 51.281, val: 48.976
       MAPE:  tr: 0.128, val: 0.128
  [60] MSE:   tr: 5407.484, val: 4850.054
       MAE:   tr: 44.306, val: 42.296
       MAPE:  tr: 0.104, val: 0.104
  [70] MSE:   tr: 6150.982, val: 5188.687
       MAE:   tr: 48.533, val: 46.106
       MAPE:  tr: 0.120, val: 0.120
  [80] MSE:   tr: 6317.349, val: 5861.720
       MAE:   tr: 45.858, val: 45.176
       MAPE:  tr: 0.119, val: 0.119
  [90] MSE:   tr: 11116.428, val: 10278.220
       MAE:   tr: 72.938, val: 70.896
       MAPE:  tr: 0.157, val: 0.157
  [100] MSE:   tr: 5707.868, val: 5155.883
       MAE:   tr: 38.249, val: 37.078
       MAPE:  tr: 0.090, val: 0.090
    New Best Model
  [110] MSE:   tr: 5360.423, val: 5124.859
       MAE:   tr: 39.036, val: 38.030
       MAPE:  tr: 0.100, val: 0.100
  [120] MSE:   tr: 5141.129, val: 5624.478
       MAE:   tr: 36.393, val: 36.161
       MAPE:  tr: 0.086, val: 0.086
    New Best Model
  [130] MSE:   tr: 5864.306, val: 4755.692
       MAE:   tr: 40.417, val: 37.885
       MAPE:  tr: 0.104, val: 0.104
  [140] MSE:   tr: 6739.590, val: 6292.710
       MAE:   tr: 56.241, val: 55.201
       MAPE:  tr: 0.145, val: 0.145
  [150] MSE:   tr: 5220.216, val: 5095.288
       MAE:   tr: 41.211, val: 40.805
       MAPE:  tr: 0.102, val: 0.102
  [160] MSE:   tr: 8773.572, val: 8352.566
       MAE:   tr: 55.764, val: 53.429
       MAPE:  tr: 0.151, val: 0.151
  [170] MSE:   tr: 8129.003, val: 7331.352
       MAE:   tr: 55.159, val: 52.300
       MAPE:  tr: 0.149, val: 0.149
  [180] MSE:   tr: 5800.131, val: 5046.030
       MAE:   tr: 45.568, val: 43.840
       MAPE:  tr: 0.116, val: 0.116
  [190] MSE:   tr: 6482.995, val: 6293.947
       MAE:   tr: 47.105, val: 46.190
       MAPE:  tr: 0.121, val: 0.121
  [200] MSE:   tr: 5755.351, val: 5962.659
       MAE:   tr: 43.168, val: 43.759
       MAPE:  tr: 0.107, val: 0.107
  [210] MSE:   tr: 5582.359, val: 5757.041
       MAE:   tr: 43.052, val: 43.469
       MAPE:  tr: 0.111, val: 0.111
  [220] MSE:   tr: 8925.644, val: 9133.491
       MAE:   tr: 56.637, val: 53.625
       MAPE:  tr: 0.155, val: 0.155
  [230] MSE:   tr: 6870.942, val: 6147.446
       MAE:   tr: 50.513, val: 48.063
       MAPE:  tr: 0.132, val: 0.132
  [240] MSE:   tr: 6446.240, val: 7160.981
       MAE:   tr: 47.683, val: 47.414
       MAPE:  tr: 0.129, val: 0.129
  [250] MSE:   tr: 6395.010, val: 6165.500
       MAE:   tr: 48.725, val: 46.568
       MAPE:  tr: 0.129, val: 0.129
  [260] MSE:   tr: 6411.634, val: 5528.073
       MAE:   tr: 48.259, val: 45.809
       MAPE:  tr: 0.128, val: 0.128
  [270] MSE:   tr: 6608.593, val: 5870.524
       MAE:   tr: 46.240, val: 43.437
       MAPE:  tr: 0.118, val: 0.118
  [280] MSE:   tr: 6292.075, val: 7454.541
       MAE:   tr: 50.041, val: 48.983
       MAPE:  tr: 0.126, val: 0.126
  [290] MSE:   tr: 5468.812, val: 6790.782
       MAE:   tr: 47.778, val: 47.708
       MAPE:  tr: 0.118, val: 0.118
  [300] MSE:   tr: 6688.631, val: 5719.398
       MAE:   tr: 48.489, val: 45.597
       MAPE:  tr: 0.116, val: 0.116
  [310] MSE:   tr: 7339.768, val: 6443.283
       MAE:   tr: 48.203, val: 44.405
       MAPE:  tr: 0.124, val: 0.124
  [320] MSE:   tr: 6497.608, val: 5274.974
       MAE:   tr: 47.750, val: 45.128
       MAPE:  tr: 0.127, val: 0.127
  [330] MSE:   tr: 6791.378, val: 6563.104
       MAE:   tr: 46.841, val: 46.664
       MAPE:  tr: 0.126, val: 0.126
  [340] MSE:   tr: 6130.662, val: 6103.292
       MAE:   tr: 46.288, val: 45.322
       MAPE:  tr: 0.122, val: 0.122
  [350] MSE:   tr: 10919.855, val: 10560.133
       MAE:   tr: 64.699, val: 61.154
       MAPE:  tr: 0.191, val: 0.191
  [360] MSE:   tr: 5955.470, val: 6451.849
       MAE:   tr: 44.542, val: 45.168
       MAPE:  tr: 0.118, val: 0.118
  [370] MSE:   tr: 6619.039, val: 7091.987
       MAE:   tr: 48.489, val: 47.656
       MAPE:  tr: 0.124, val: 0.124
  [380] MSE:   tr: 5444.128, val: 5175.695
       MAE:   tr: 43.338, val: 41.480
       MAPE:  tr: 0.108, val: 0.108
  [390] MSE:   tr: 9581.543, val: 9177.677
       MAE:   tr: 58.122, val: 54.454
       MAPE:  tr: 0.156, val: 0.156
  [400] MSE:   tr: 6514.882, val: 5612.191
       MAE:   tr: 47.415, val: 44.925
       MAPE:  tr: 0.122, val: 0.122
  [410] MSE:   tr: 6624.674, val: 6179.067
       MAE:   tr: 48.790, val: 48.118
       MAPE:  tr: 0.126, val: 0.126
  [420] MSE:   tr: 6079.699, val: 5900.568
       MAE:   tr: 46.709, val: 45.907
       MAPE:  tr: 0.117, val: 0.117
  [430] MSE:   tr: 5761.471, val: 5453.934
       MAE:   tr: 43.682, val: 43.122
       MAPE:  tr: 0.106, val: 0.106
  [440] MSE:   tr: 6011.404, val: 4977.038
       MAE:   tr: 45.530, val: 43.130
       MAPE:  tr: 0.112, val: 0.112
  [450] MSE:   tr: 6064.315, val: 6199.261
       MAE:   tr: 43.212, val: 42.221
       MAPE:  tr: 0.099, val: 0.099
  [460] MSE:   tr: 28373.264, val: 26968.657
       MAE:   tr: 135.430, val: 135.591
       MAPE:  tr: 0.284, val: 0.284
  [470] MSE:   tr: 5845.941, val: 5312.021
       MAE:   tr: 41.883, val: 41.401
       MAPE:  tr: 0.094, val: 0.094
  [480] MSE:   tr: 5368.068, val: 4798.264
       MAE:   tr: 42.260, val: 41.448
       MAPE:  tr: 0.101, val: 0.101
  [490] MSE:   tr: 5549.056, val: 5384.048
       MAE:   tr: 45.283, val: 45.028
       MAPE:  tr: 0.113, val: 0.113
  [500] MSE:   tr: 5280.897, val: 5198.318
       MAE:   tr: 41.491, val: 41.297
       MAPE:  tr: 0.101, val: 0.101
  [510] MSE:   tr: 6366.965, val: 6296.223
       MAE:   tr: 44.918, val: 44.106
       MAPE:  tr: 0.115, val: 0.115
  [520] MSE:   tr: 6555.256, val: 6257.350
       MAE:   tr: 48.604, val: 47.491
       MAPE:  tr: 0.124, val: 0.124
  [530] MSE:   tr: 6102.714, val: 5170.696
       MAE:   tr: 43.520, val: 42.105
       MAPE:  tr: 0.102, val: 0.102
  [540] MSE:   tr: 5540.386, val: 5694.199
       MAE:   tr: 43.439, val: 43.902
       MAPE:  tr: 0.111, val: 0.111
  [550] MSE:   tr: 5575.235, val: 5211.443
       MAE:   tr: 43.625, val: 42.988
       MAPE:  tr: 0.105, val: 0.105
  [560] MSE:   tr: 5540.938, val: 5084.550
       MAE:   tr: 41.193, val: 39.775
